
                             U1 N: 2 NSET NODE  U2 N: 2 NSET NODE
                  X                 _1-1               _1-1      

               76.8327E-03       309.858E-06         -1.0385E-03 
               77.4502E-03       318.071E-06         -1.05352E-03
               78.0677E-03       289.152E-06         -1.0278E-03 
               78.6852E-03       243.522E-06       -978.53E-06   
               79.3026E-03       209.891E-06       -938.832E-06  
               79.9201E-03       207.816E-06       -934.999E-06  
               80.5376E-03       237.144E-06       -968.471E-06  
               81.1551E-03       279.101E-06         -1.01557E-03
               81.7725E-03       307.693E-06         -1.04468E-03
               82.39E-03         305.242E-06         -1.03793E-03
               83.0075E-03       273.39E-06          -1.00197E-03
               83.625E-03        232.569E-06       -961.66E-06   
               84.2424E-03       209.287E-06       -942.569E-06  
               84.8599E-03       218.73E-06        -955.048E-06  
               85.4774E-03       254.353E-06       -989.348E-06  
               86.0949E-03       292.145E-06         -1.02325E-03
               86.7123E-03       307.05E-06          -1.03613E-03
               87.3298E-03       289.998E-06         -1.02101E-03
               87.9473E-03       253.52E-06        -988.004E-06  
               88.5648E-03       222.355E-06       -957.943E-06  
               89.1822E-03       216.349E-06       -949.619E-06  
               89.7997E-03       237.819E-06       -968.113E-06  
               90.4172E-03       271.412E-06         -1.00137E-03
               91.0347E-03       295.276E-06         -1.02773E-03
               91.6521E-03       295.192E-06         -1.03009E-03
               92.2696E-03       272.639E-06         -1.00727E-03
               92.8871E-03       242.685E-06       -974.809E-06  
               93.5045E-03       224.061E-06       -954.298E-06  
               94.122E-03        227.793E-06       -958.751E-06  
               94.7395E-03       250.896E-06       -984.212E-06  
               95.357E-03        278.517E-06         -1.01317E-03
               95.9744E-03       293.193E-06         -1.02681E-03
               96.5919E-03       285.778E-06         -1.01729E-03
               97.2094E-03       261.311E-06       -992.018E-06  
               97.8269E-03       235.829E-06       -967.778E-06  
               98.4443E-03       225.907E-06       -959.628E-06  
               99.0618E-03       237.697E-06       -971.75E-06   
               99.6793E-03       262.949E-06       -995.648E-06  
              100.297E-03        284.762E-06         -1.01604E-03
              100.914E-03        289.057E-06         -1.02041E-03
              101.532E-03        273.785E-06         -1.00652E-03
              102.149E-03        249.721E-06       -983.542E-06  
              102.767E-03        232.74E-06        -966.165E-06  
              103.384E-03        233.275E-06       -965.349E-06  
              104.002E-03        250.023E-06       -981.328E-06  
              104.619E-03        271.567E-06         -1.00349E-03
              105.237E-03        284.186E-06         -1.01736E-03
              105.854E-03        280.466E-06         -1.01413E-03
              106.472E-03        263.471E-06       -996.387E-06  
              107.089E-03        244.312E-06       -976.126E-06  
              107.706E-03        235.008E-06       -966.576E-06  
              108.324E-03        241.08E-06        -973.454E-06  
              108.941E-03        258.301E-06       -991.587E-06  
              109.559E-03        275.51E-06          -1.00883E-03
              110.176E-03        281.744E-06         -1.01426E-03
              110.794E-03        273.242E-06         -1.00506E-03
              111.411E-03        255.801E-06       -987.766E-06  
              112.029E-03        240.896E-06       -973.616E-06  
              112.646E-03        238.102E-06       -971.311E-06  
              113.264E-03        248.86E-06        -981.776E-06  
              113.881E-03        265.745E-06       -997.974E-06  
              114.499E-03        277.625E-06         -1.00956E-03
              115.116E-03        277.061E-06         -1.0094E-03 
              115.734E-03        264.973E-06       -997.918E-06  
              116.351E-03        249.616E-06       -982.69E-06   
              116.969E-03        240.905E-06       -973.511E-06  
              117.586E-03        244.025E-06       -976.109E-06  
              118.204E-03        256.438E-06       -988.52E-06   
              118.821E-03        269.913E-06         -1.00249E-03
              119.438E-03        275.953E-06         -1.00896E-03
              120.056E-03        271.082E-06         -1.00399E-03
              120.673E-03        258.77E-06        -991.204E-06  
              121.291E-03        247.011E-06       -979.116E-06  
              121.908E-03        243.197E-06       -975.46E-06   
              122.526E-03        249.511E-06       -982.206E-06  
              123.143E-03        261.664E-06       -994.583E-06  
              123.761E-03        271.754E-06         -1.00447E-03
              124.378E-03        273.382E-06         -1.00573E-03
              124.996E-03        265.735E-06       -997.962E-06  
              125.613E-03        253.996E-06       -986.456E-06  
              126.231E-03        245.847E-06       -978.605E-06  
              126.848E-03        246.411E-06       -979.197E-06  
              127.466E-03        255.011E-06       -987.544E-06  
              128.083E-03        265.817E-06       -998.12E-06   
              128.701E-03        271.819E-06         -1.00417E-03
              129.318E-03        269.39E-06          -1.002E-03  
              129.936E-03        260.446E-06       -993.229E-06  
              130.553E-03        250.955E-06       -983.634E-06  
              131.17E-03         246.951E-06       -979.374E-06  
              131.788E-03        250.719E-06       -983.021E-06  
              132.405E-03        259.553E-06       -991.994E-06  
              133.023E-03        267.68E-06          -1.00036E-03
              133.64E-03         270.008E-06         -1.00276E-03
              134.258E-03        265.283E-06       -997.885E-06  
              134.875E-03        256.731E-06       -989.13E-06   
              135.493E-03        249.89E-06        -982.25E-06   
              136.11E-03         249.045E-06       -981.556E-06  
              136.728E-03        254.552E-06       -987.225E-06  
              137.345E-03        262.71E-06        -995.384E-06  
              137.963E-03        268.227E-06         -1.00076E-03
              138.58E-03         267.653E-06         -1.00007E-03
              139.198E-03        261.551E-06       -994.002E-06  
              139.815E-03        254.018E-06       -986.599E-06  
              140.433E-03        249.932E-06       -982.584E-06  
              141.05E-03         251.782E-06       -984.37E-06   
              141.668E-03        258.157E-06       -990.626E-06  
              142.285E-03        264.805E-06       -997.24E-06   
              142.902E-03        267.48E-06          -1.E-03     
              143.52E-03         264.645E-06       -997.273E-06  
              144.137E-03        258.331E-06       -990.967E-06  
              144.755E-03        252.685E-06       -985.222E-06  
              145.372E-03        251.251E-06       -983.694E-06  
              145.99E-03         254.766E-06       -987.22E-06   
              146.607E-03        260.817E-06       -993.37E-06   
              147.225E-03        265.483E-06       -998.115E-06  
              147.842E-03        265.862E-06       -998.473E-06  
              148.46E-03         261.864E-06       -994.383E-06  
              149.077E-03        256.172E-06       -988.631E-06  
              149.695E-03        252.457E-06       -984.945E-06  
              150.312E-03        253.02E-06        -985.585E-06  
              150.93E-03         257.364E-06       -989.968E-06  
              151.547E-03        262.594E-06       -995.162E-06  
              152.165E-03        265.339E-06       -997.846E-06  
              152.782E-03        263.929E-06       -996.42E-06   
              153.4E-03          259.411E-06       -991.943E-06  
              154.017E-03        254.784E-06       -987.363E-06  
              154.635E-03        253.009E-06       -985.584E-06  
              155.252E-03        255.108E-06       -987.635E-06  
              155.869E-03        259.592E-06       -992.086E-06  
              156.487E-03        263.513E-06       -996.025E-06  
              157.104E-03        264.4E-06         -996.963E-06  
              157.722E-03        261.813E-06       -994.402E-06  
              158.339E-03        257.53E-06        -990.092E-06  
              158.957E-03        254.333E-06       -986.843E-06  
