
                  X            U2 free node 3 
                1.15922           -5.32659    
                1.16489           -5.99035    
                1.17056           -6.62171    
                1.17624           -7.19334    
                1.18191           -7.68       
                1.18759           -8.06066    
                1.19327           -8.32038    
                1.19894           -8.45151    
                1.20462           -8.45418    
                1.2103            -8.33606    
                1.21597           -8.1113     
                1.22165           -7.79887    
                1.22732           -7.42055    
                1.233             -6.99868    
                1.23867           -6.55407    
                1.24434           -6.10419    
                1.25002           -5.6619     
                1.25569           -5.23482    
                1.26136           -4.82527    
                1.26703           -4.43096    
                1.27271           -4.04607    
                1.27838           -3.66279    
                1.28406           -3.27306    
                1.28973           -2.87023    
                1.29541           -2.45061    
                1.30109           -2.01466    
                1.30676           -1.56757    
                1.31244           -1.1194     
                1.31812         -684.532E-03  
                1.3238          -280.679E-03  
                1.32948           72.5496E-03 
                1.33516          355.318E-03  
                1.34083          549.329E-03  
                1.34651          639.495E-03  
                1.35218          615.362E-03  
                1.35786          472.156E-03  
                1.36353          211.372E-03  
                1.36921         -159.155E-03  
                1.37488         -625.695E-03  
                1.38056           -1.16957    
                1.38623           -1.76848    
                1.39191           -2.3982     
                1.39758           -3.03435    
                1.40326           -3.65425    
                1.40894           -4.23854    
                1.41461           -4.77243    
                1.42029           -5.2465     
                1.42597           -5.6569     
                1.43165           -6.00498    
                1.43732           -6.29632    
                1.443             -6.5394     
                1.44868           -6.74394    
                1.45435           -6.91928    
                1.46002           -7.07276    
                1.4657            -7.20855    
                1.47137           -7.32681    
                1.47704           -7.42353    
                1.48271           -7.49082    
                1.48839           -7.51778    
                1.49406           -7.49179    
                1.49973           -7.4001     
                1.50541           -7.23153    
                1.51108           -6.97802    
                1.51676           -6.63601    
                1.52243           -6.20732    
                1.52811           -5.69945    
                1.53379           -5.12538    
                1.53946           -4.50282    
                1.54514           -3.85291    
                1.55082           -3.19873    
                1.55649           -2.56357    
                1.56217           -1.9693     
                1.56784           -1.4349     
                1.57352         -975.32E-03   
                1.57919         -600.725E-03  
                1.58487         -316.226E-03  
                1.59054         -122.028E-03  
                1.59622          -13.9848E-03 
                1.60189           15.5098E-03 
                1.60757          -23.6047E-03 
                1.61324         -120.3E-03    
                1.61892         -263.697E-03  
                1.6246          -444.182E-03  
                1.63028         -654.271E-03  
                1.63595         -889.148E-03  
                1.64163           -1.14686    
                1.64731           -1.42807    
                1.65299           -1.73547    
                1.65866           -2.07291    
                1.66434           -2.44433    
                1.67002           -2.85266    
                1.67569           -3.29871    
                1.68137           -3.78032    
                1.68704           -4.29178    
                1.69272           -4.82362    
                1.69839           -5.36282    
                1.70406           -5.89343    
                1.70974           -6.39751    
                1.71541           -6.85646    
                1.72109           -7.25236    
                1.72676           -7.56945    
                1.73244           -7.79541    
                1.73811           -7.9223     
                1.74379           -7.94726    
                1.74946           -7.87252    
                1.75514           -7.70514    
                1.76081           -7.45617    
                1.76649           -7.13956    
                1.77216           -6.77078    
                1.77784           -6.3655     
                1.78351           -5.9383     
                1.78919           -5.50161    
                1.79486           -5.06504    
                1.80053           -4.63505    
                1.80621           -4.21504    
                1.81188           -3.8058     
                1.81756           -3.40622    
                1.82323           -3.01426    
                1.82891           -2.62792    
                1.83458           -2.24628    
                1.84026           -1.87023    
                1.84593           -1.50309    
                1.85161           -1.15081    
                1.85729         -821.926E-03  
                1.86297         -527.058E-03  
                1.86865         -278.216E-03  
                1.87432          -87.8427E-03 
                1.88              32.2537E-03 
                1.88568           71.984E-03  
                1.89135           23.9681E-03 
                1.89703         -115.658E-03  
                1.9027          -346.697E-03  
                1.90838         -664.655E-03  
                1.91405           -1.06085    
                1.91973           -1.52285    
                1.9254            -2.03523    
                1.93108           -2.58055    
                1.93676           -3.14054    
                1.94243           -3.69728    
                1.94811           -4.23441    
                1.95378           -4.73807    
                1.95946           -5.19769    
                1.96514           -5.60636    
                1.97081           -5.96083    
                1.97649           -6.26119    
                1.98217           -6.5102     
                1.98784           -6.71234    
                1.99352           -6.87282    
                1.99919           -6.99653    
                2.00486           -7.08716    
                2.01054           -7.14648    
                2.01621           -7.17404    
                2.02188           -7.1671     
                2.02756           -7.12098    
                2.03323           -7.02972    
                2.0389            -6.88693    
                2.04458           -6.68678    
                2.05025           -6.42506    
                2.05593           -6.10004    
                2.0616            -5.71318    
                2.06728           -5.26952    
                2.07296           -4.77772    
                2.07863           -4.24975    
                2.08431           -3.70025    
                2.08999           -3.14567    
                2.09566           -2.60318    
                2.10134           -2.08962    
                2.10701           -1.62042    
                2.11269           -1.20868    
                2.11836         -864.547E-03  
                2.12404         -594.73E-03   
                2.12971         -402.412E-03  
                2.13539         -287.386E-03  
                2.14106         -246.468E-03  
                2.14674         -274.103E-03  
                2.15242         -363.11E-03   
                2.15809         -505.486E-03  
                2.16377         -693.195E-03  
                2.16945         -918.851E-03  
                2.17512           -1.17625    
                2.1808            -1.46068    
                2.18648           -1.76901    
                2.19216           -2.09948    
                2.19783           -2.4514     
                2.20351           -2.82453    
                2.20919           -3.21848    
                2.21486           -3.63204    
                2.22054           -4.06259    
                2.22621           -4.50562    
                2.23189           -4.95453    
                2.23756           -5.40054    
                2.24323           -5.83304    
                2.24891           -6.24       
                2.25458           -6.60873    
                2.26026           -6.9267     
                2.26593           -7.18247    
                2.27161           -7.36654    
                2.27728           -7.4721     
                2.28296           -7.49556    
                2.28863           -7.43679    
                2.29431           -7.29914    
                2.29998           -7.08904    
                2.30566           -6.81547    
                2.31133           -6.4892     
                2.31701           -6.1219     
                2.32268           -5.72531    
                2.32836           -5.31045    
                2.33403           -4.88701    
                2.33971           -4.46298    
                2.34538           -4.04444    
                2.35105           -3.63568    
                2.35673           -3.23947    
                2.3624            -2.8575     
                2.36808           -2.49097    
                2.37376           -2.14109    
                2.37943           -1.80967    
                2.38511           -1.49951    
                2.39078           -1.21464    
                2.39646         -960.365E-03  
