
                  X            U2 free node 2 

                0.                 0.         
                2.86573E-03       94.5858E-03 
                5.73137E-03      340.886E-03  
                8.59665E-03      646.899E-03  
               11.4613E-03       907.895E-03  
               14.3252E-03         1.04646    
               17.1884E-03         1.03989    
               20.0513E-03       925.146E-03  
               22.914E-03        780.993E-03  
               25.7765E-03       695.267E-03  
               28.6388E-03       730.582E-03  
               32.0736E-03       951.991E-03  
               36.1952E-03         1.38119    
               41.1413E-03         1.80882    
               46.8144E-03         1.80767    
               52.4868E-03         1.55019    
               58.1591E-03         1.59104    
               63.8296E-03         1.91915    
               69.4981E-03         2.05077    
               75.1674E-03         1.79568    
               80.8398E-03         1.50063    
               86.514E-03          1.49722    
               92.1883E-03         1.65176    
               97.8638E-03         1.63952    
              103.543E-03          1.44628    
              109.225E-03          1.35763    
              114.907E-03          1.52295    
              120.588E-03          1.76597    
              126.269E-03          1.87011    
              131.95E-03           1.87319    
              137.63E-03           1.96494    
              143.307E-03          2.18526    
              148.981E-03          2.36843    
              154.654E-03          2.37787    
              160.326E-03          2.2768     
              165.996E-03          2.21056    
              171.663E-03          2.19308    
              177.332E-03          2.10144    
              183.002E-03          1.86837    
              188.674E-03          1.58927    
              194.346E-03          1.39512    
              200.02E-03           1.28265    
              205.698E-03          1.14664    
              211.378E-03        957.726E-03  
              217.059E-03        817.874E-03  
              222.741E-03        813.318E-03  
              228.424E-03        890.539E-03  
              234.107E-03        939.784E-03  
              239.788E-03        953.402E-03  
              245.469E-03          1.01835    
              251.147E-03          1.16333    
              256.824E-03          1.30069    
              262.499E-03          1.34768    
              268.173E-03          1.33527    
              273.845E-03          1.34242    
              279.516E-03          1.36815    
              285.187E-03          1.33931    
              290.858E-03          1.23181    
              296.53E-03           1.11322    
              302.203E-03          1.04813    
              307.878E-03          1.01889    
              313.555E-03        976.992E-03  
              319.234E-03        933.927E-03  
              324.914E-03        950.13E-03   
              330.595E-03          1.04789    
              336.277E-03          1.18491    
              341.958E-03          1.32041    
              347.639E-03          1.46538    
              353.318E-03          1.64607    
              358.996E-03          1.84652    
              364.672E-03          2.01856    
              370.346E-03          2.13723    
              376.018E-03          2.21707    
              381.688E-03          2.27339    
              387.357E-03          2.29303    
              393.026E-03          2.25541    
              398.695E-03          2.16647    
              404.365E-03          2.05544    
              410.036E-03          1.94342    
              415.708E-03          1.83035    
              421.382E-03          1.71405    
              427.058E-03          1.60862    
              432.735E-03          1.53528    
              438.414E-03          1.50088    
              444.093E-03          1.49435    
              449.773E-03          1.50354    
              455.452E-03          1.52698    
              461.131E-03          1.56577    
              466.808E-03          1.61008    
              472.484E-03          1.64079    
              478.158E-03          1.64417    
              483.831E-03          1.61977    
              489.503E-03          1.57202    
              495.174E-03          1.49955    
              500.846E-03          1.39791    
              506.517E-03          1.27134    
              512.19E-03           1.13549    
              517.863E-03          1.00656    
              523.538E-03        891.954E-03  
              529.215E-03        795.03E-03   
              534.893E-03        724.613E-03  
              540.573E-03        693.493E-03  
              546.254E-03        707.342E-03  
              551.935E-03        760.438E-03  
              557.616E-03        843.964E-03  
              563.297E-03        953.765E-03  
              568.978E-03          1.08643    
              574.656E-03          1.23135    
              580.334E-03          1.37238    
              586.01E-03           1.49727    
              591.684E-03          1.60166    
              597.357E-03          1.68339    
              603.029E-03          1.7377     
              608.701E-03          1.76102    
              614.372E-03          1.75707    
              620.044E-03          1.73573    
              625.716E-03          1.70637    
              631.39E-03           1.67503    
              637.064E-03          1.64785    
              642.74E-03           1.63352    
              648.417E-03          1.63994    
              654.095E-03          1.66946    
              659.773E-03          1.71902    
              665.452E-03          1.78407    
              671.13E-03           1.86006    
              676.807E-03          1.94035    
              682.483E-03          2.01485    
              688.158E-03          2.0726     
              693.832E-03          2.10533    
              699.504E-03          2.10823    
              705.176E-03          2.07844    
              710.846E-03          2.01463    
              716.517E-03          1.91853    
              722.187E-03          1.79614    
              727.859E-03          1.65651    
              733.531E-03          1.50944    
              739.205E-03          1.36433    
              744.88E-03           1.23044    
              750.556E-03          1.11665    
              756.234E-03          1.03009    
              761.913E-03        974.492E-03  
              767.593E-03        950.065E-03  
              773.273E-03        954.477E-03  
              778.953E-03        983.587E-03  
              784.633E-03          1.03135    
              790.311E-03          1.0898     
              795.989E-03          1.15021    
              801.665E-03          1.20473    
              807.34E-03           1.24747    
              813.015E-03          1.27442    
